→,kopune,": 跟風罵完隔天也忘了自己罵了啥","06/10 14:48"
→,gn1384181,": 洪素珠們XDDD","06/10 14:48"
推,omanorboyo,": 洪素吱","06/10 14:48"
→,freef1y3,": 版上的邱毅蔡正元也沒少過","06/10 14:48"
→,greedypeople,": 愛國同心會亂搞時  馬囧有出來講半個字嗎？  沒有嘛","06/10 14:48"
→,minoru04,": 我看是沒有","06/10 14:48"
→,greedypeople,": 阿愛國同心會就馬赫0創的  它當然不敢","06/10 14:49"
→,minoru04,": 請各蛆止羲小起入們立刻起駕去阻止愛國同心會的歧視言論","06/10 14:49"
→,hatenese,":                        網   再不推給國民黨就是失敗喔","06/10 14:49"
→,minoru04,": 希望這禮拜能看到你們在101打卡主持正義喔","06/10 14:50"
推,Areso,": 要怪就怪國民黨吧 反攻大陸都是騙","06/10 14:51"
→,jiayuan,": 可是你們支持者不這麼想欸","06/10 14:52"
推,donkilu,": 郭冠英練蕭維不就沒退休金了 太誇張的言論都該被譴責","06/10 14:52"
噓,gn0481914,": 我恨的是國民黨 不是國民","06/10 14:52"
推,foolfighter,":  http://i.imgur.com/MkEw20V.jpg","06/10 14:52"
推,orinsinal,": 洪素吱 還在岐視榮民","06/10 14:52"
噓,ikj,": 製造仇恨不就DPP專長?","06/10 14:53"
噓,jaywall,": 誰歧視他們了，支那難民滾回去是全民共識好嗎？闡述事實","06/10 14:53"
→,jaywall,": 而已，這是言論自由好嗎。","06/10 14:53"
→,foolfighter,": 有沒有人看過國民黨出來譴責張秀葉？","06/10 14:53"
→,jiayuan,": ""沒有人必須為自己的認同受到歧視""  <-笑死平常八卦板眾","06/10 14:53"
推,imanikki,": 愛國同心會就沒看這些中國人關心","06/10 14:53"
→,jiayuan,": 是什麼嘴臉","06/10 14:53"
→,gn1384181,": 就算殺了一個洪素珠 八卦版還有千千萬萬個洪素珠","06/10 14:53"
推,orinsinal,":  http://i.imgur.com/5YWBVRt.jpg","06/10 14:54"
噓,panzerbug,": 次元刀","06/10 14:55"
推,jiayuan,": 八卦版素珠千千萬萬 不容質疑","06/10 14:55"
推,dctmax,": 八吱版一堆極端吱啊 綠色的9.2 簡稱8.7","06/10 14:55"
→,orinsinal,":  http://i.imgur.com/B43b9gn.jpg","06/10 14:55"
推,ImBBCALL,": 吱吱們以後講話要要收斂點惹XDDDD","06/10 14:56"
→,orinsinal,": 這些dpper今天被主子抽 爽不？","06/10 14:56"
推,donkilu,": 老實說期待KMT譴責愛國同心會 似乎太高估他們了","06/10 14:56"
推,windangellin,": 推","06/10 14:57"
推,HappyKH,": 民進黨做對的事時你覺得不爽 那就是你有病","06/10 14:57"
