"key","household"
"台中市北屯區仁愛里",493
"台中市北屯區仁美里",3170
"台中市北屯區北京里",1369
"台中市北屯區北屯里",1531
"台中市北屯區北興里",1423
"台中市北屯區同榮里",2106
"台中市北屯區后庄里",3899
"台中市北屯區和平里",3589
"台中市北屯區四民里",603
"台中市北屯區大坑里",770
"台中市北屯區大德里",2011
"台中市北屯區平和里",2394
"台中市北屯區平安里",2243
"台中市北屯區平德里",2871
"台中市北屯區平心里",2235
"台中市北屯區平昌里",1937
"台中市北屯區平田里",2432
"台中市北屯區平福里",1579
"台中市北屯區平興里",2883
"台中市北屯區平陽里",2105
"台中市北屯區平順里",1391
"台中市北屯區廍子里",3070
"台中市北屯區忠平里",1626
"台中市北屯區新平里",1816
"台中市北屯區東光里",1995
"台中市北屯區東山里",769
"台中市北屯區松勇里",2071
"台中市北屯區松和里",2687
"台中市北屯區松安里",1973
"台中市北屯區松強里",2842
"台中市北屯區松竹里",3598
"台中市北屯區松茂里",2161
"台中市北屯區民德里",364
"台中市北屯區民政里",362
"台中市北屯區水景里",5501
"台中市北屯區水湳里",2645
"台中市北屯區舊社里",2506
"台中市北屯區軍功里",4405
"台中市北屯區陳平里",1848
"台中市南 區南和里",3390
"台中市南 區南門里",1658
"台中市南 區和平里",1820
"台中市南 區國光里",1801
"台中市南 區城隍里",1664
"台中市南 區崇倫里",2486
"台中市南 區工學里",2902
"台中市南 區平和里",1474
"台中市南 區德義里",1328
"台中市南 區新榮里",2183
"台中市南 區樹德里",3618
"台中市南 區樹義里",4356
"台中市南 區永和里",2071
"台中市南 區永興里",3370
"台中市南 區江川里",1292
"台中市南 區福平里",2223
"台中市南 區福興里",1641
"台中市南 區福順里",2414
"台中市南 區積善里",1112
"台中市南 區西川里",1869
"台中市南 區長春里",917
"台中市南 區長榮里",1153
"台中市南屯區三厝里",3037
"台中市南屯區三和里",3932
"台中市南屯區三義里",3023
"台中市南屯區中和里",1655
"台中市南屯區南屯里",3811
"台中市南屯區同心里",2351
"台中市南屯區向心里",2422
"台中市南屯區大同里",2050
"台中市南屯區大業里",2830
"台中市南屯區大興里",1687
"台中市南屯區大誠里",1644
"台中市南屯區寶山里",2359
"台中市南屯區惠中里",3290
"台中市南屯區文山里",4231
"台中市南屯區文心里",1651
"台中市南屯區新生里",417
"台中市南屯區春安里",345
"台中市南屯區春社里",3037
"台中市南屯區楓樹里",2195
"台中市南屯區永定里",2032
"台中市南屯區溝墘里",2223
"台中市南屯區田心里",2653
"台中市南屯區豐樂里",4428
"台中市南屯區鎮平里",556
"台中市南屯區黎明里",1861
"台中市后里區中和里",830
"台中市后里區仁里里",373
"台中市后里區公館里",659
"台中市后里區厚里里",742
"台中市后里區后里里",1254
"台中市后里區墩北里",1225
"台中市后里區墩南里",1103
"台中市后里區墩東里",1695
"台中市后里區墩西里",753
"台中市后里區太平里",715
"台中市后里區廣福里",808
"台中市后里區月眉里",589
"台中市后里區泰安里",457
"台中市后里區眉山里",1114
"台中市后里區義德里",979
"台中市后里區義里里",1216
"台中市后里區聯合里",526
"台中市后里區舊社里",672
"台中市和平區中坑里",228
"台中市和平區南勢里",887
"台中市和平區博愛里",794
"台中市和平區天輪里",230
"台中市和平區平等里",351
"台中市和平區梨山里",989
"台中市和平區自由里",481
"台中市和平區達觀里",472
"台中市外埔區三崁里",656
"台中市外埔區中山里",376
"台中市外埔區六分里",767
"台中市外埔區土城里",488
"台中市外埔區大同里",1590
"台中市外埔區大東里",2323
"台中市外埔區廍子里",396
"台中市外埔區水美里",1234
"台中市外埔區永豐里",357
